"lang"
{
	"Language"		"SChinese"
		"DOTA_Tooltip_ability_winterblight_armor_softening_Description"	"该单位在护甲大于一定临界值时受到的伤害将被大量减少。"
		"DOTA_Tooltip_ability_winterblight_armor_softening_armor_threshold"	"护甲临界值:"
		"DOTA_Tooltip_ability_winterblight_armor_softening_damage_reduc"	"伤害减少:"		

		"DOTA_Tooltip_ability_winterblight_chrolonus_passive"			"永世打击"
		"DOTA_Tooltip_ability_winterblight_chrolonus_passive_Description"	"普通攻击有概率眩晕并击退敌人。"

		"DOTA_Tooltip_ability_chrolonus_dash"					"永世交换"
		"DOTA_Tooltip_ability_chrolonus_dash_Description"		"跳跃至目标地点并在目标地点周围造成伤害。在冷却之前有很多次自由释放次数。"
		"DOTA_Tooltip_ability_chrolonus_dash_damage"			"伤害:"

		"DOTA_Tooltip_ability_winterblight_crystal_meditation"			"水晶冥想"
		"DOTA_Tooltip_ability_winterblight_crystal_meditation_Description"	"在短暂延迟后额外攻击一次。"
		"DOTA_Tooltip_ability_winterblight_crystal_meditation_attacks"	"额外攻击:"

		"DOTA_Tooltip_ability_winterblight_crystal_charge"		"梅尔芙冲刺"
		"DOTA_Tooltip_ability_winterblight_crystal_charge_Description"	"冲向目标地点。"

		"DOTA_Tooltip_ability_winterblight_spectral_witch_passive"		"夜幕"
		"DOTA_Tooltip_ability_winterblight_spectral_witch_passive_description"	"如果攻击者在一定范围外则对该单位造成的伤害大幅减少，并且给周围的敌人增加攻击力。"
		"DOTA_Tooltip_ability_winterblight_spectral_witch_passive_damage_reduction"	"减伤%:"
		"DOTA_Tooltip_ability_winterblight_spectral_witch_passive_attack_damage_bonus"	"敌人的额外攻击力:"

		"DOTA_Tooltip_ability_winterblight_air_spirit_passive"		"冰晶空气"
		"DOTA_Tooltip_ability_winterblight_air_spirit_passive_Description"	"被动提供额外攻击力 %."
		"DOTA_Tooltip_ability_winterblight_air_spirit_passive_attack_damage"	" 攻击力%:"

		"DOTA_Tooltip_ability_winterblight_cruxal_passive"			"破防"
		"DOTA_Tooltip_ability_winterblight_cruxal_passive_Description"	"每次普通攻击施加一个可叠加的减少护甲的负面状态。"
		"DOTA_Tooltip_ability_winterblight_cruxal_passive_armor_loss_per_stack"	"每层负面状态护甲减少:"

		"DOTA_Tooltip_modifier_cruxal_armor_loss"				"破防"
		"DOTA_Tooltip_modifier_cruxal_armor_loss_Description"	"减少护甲"

		"DOTA_Tooltip_ability_cruxal_ice_blast"					"冰晶爆轰"
		"DOTA_Tooltip_ability_cruxal_ice_blast_Description"		"向目标释放一个寒冰之球，被冰球击中的敌人受到持续伤害并且无法被治疗。在这个负面状态下的敌人在生命值低于一定临界值后将立即破碎死亡。"
		"DOTA_Tooltip_ability_cruxal_ice_blast_dot_damage"		"持续伤害:"
		"DOTA_Tooltip_ability_cruxal_ice_blast_kill_pct"		" 生命值即死百分比:"

		"DOTA_Tooltip_modifier_ice_blast_debuff_datadriven"		"冰晶爆轰"
		"DOTA_Tooltip_modifier_ice_blast_debuff_datadriven_Description"	"不能被治疗。如果生命值在临界值百分比之下时会立刻破碎死亡。"

		"DOTA_Tooltip_ability_winterblight_essence_drain"		"精气汲取"
		"DOTA_Tooltip_ability_winterblight_essence_drain_Description" 	"所有附近的英雄被精气汲取的光束链接，精气汲取将会偷取一个正面状态并且每0.1秒将该状态施加到施法者身上。"
		"DOTA_Tooltip_ability_winterblight_essence_drain_radius"	"范围:"

		"DOTA_Tooltip_modifier_essence_drain_effect"			"精气汲取"
		"DOTA_Tooltip_modifier_essence_drain_effect_Description" "正面状态被偷取"

		"DOTA_Tooltip_ability_winterblight_bladewielder_passive"	"剑舞者之力"
		"DOTA_Tooltip_ability_winterblight_bladewielder_passive_Description"	"提供额外的攻击力和护甲。在受到伤害后，失去这个正面状态1.5秒。"
		"DOTA_Tooltip_ability_winterblight_bladewielder_passive_attack_outgoing"	"增加%攻击力:"
		"DOTA_Tooltip_ability_winterblight_bladewielder_passive_armor"				"护甲:"

		"DOTA_Tooltip_modifier_bladewielder_force"				"剑舞者之力"
		"DOTA_Tooltip_modifier_bladewielder_force_Description"	"增加攻击力和护甲。"

		"DOTA_Tooltip_ability_megmus_explosion"					"广阔冻结"
		"DOTA_Tooltip_ability_megmus_explosion_Description"		"在一个短暂的引导后，对周围敌人造成伤害和眩晕。"	
		"DOTA_Tooltip_ability_megmus_explosion_stun_duration"   "眩晕持续时间:"
		"DOTA_Tooltip_ability_megmus_explosion_damage"			"伤害:"
		"DOTA_Tooltip_ability_megmus_explosion_as_slow"			"攻击速度降低:"
		"DOTA_Tooltip_ability_megmus_explosion_ms_slow"			"移动速度降低:"

		"DOTA_Tooltip_modifier_megmus_slow"						"广阔冻结"
		"DOTA_Tooltip_modifier_megmus_slow_Description"			"被减速"

		"DOTA_Tooltip_ability_winterblight_rupthold_passive"	"贪魔的恶臭"
		"DOTA_Tooltip_ability_winterblight_rupthold_passive_Description"	"在贪魔周围的敌人生命回复降低并且不能被治疗。"
		"DOTA_Tooltip_ability_winterblight_rupthold_passive_aoe_radius"		"影响范围:"
		"DOTA_Tooltip_ability_winterblight_rupthold_passive_health_regen_loss_percent"	"生命回复速率减少%:"

		"DOTA_Tooltip_modifier_rupthold_effect"					"贪魔的恶臭"
		"DOTA_Tooltip_modifier_rupthold_effect_Description"		"减少生命回复并且无法被治疗。"	

		"DOTA_Tooltip_ability_winterblight_gargoyle_summon_passive"	"石像鬼皮肤"
		"DOTA_Tooltip_ability_winterblight_gargoyle_summon_passive_Description"	"减少受到的纯粹伤害"
		"DOTA_Tooltip_ability_winterblight_gargoyle_summon_passive_pure_resist"	"纯粹伤害抗性:"

		"DOTA_Tooltip_ability_winterblight_ghost_aura"			"噩梦光环"
		"DOTA_Tooltip_ability_winterblight_ghost_aura_Description"	"减少敌人100%的闪避，并且降低他们的攻击力。每次攻击受该光环影响的敌人会对其施加一个负面状态，当该负面状态达到10层时，该目标会被缴械。"
		"DOTA_Tooltip_ability_winterblight_ghost_aura_disarm_duration"	"缴械持续时间:"
		"DOTA_Tooltip_ability_winterblight_ghost_aura_attack_damage_percent"	"攻击力减少%:"

		"DOTA_Tooltip_modifier_ghost_aura_effect"				"噩梦光环"
		"DOTA_Tooltip_modifier_ghost_aura_effect_Description"	"光环减少攻击力。攻击目标会对其施加一层负面状态。到达10层时目标将会被缴械。"

		"DOTA_Tooltip_modifier_ghost_aura_stacks"				"噩梦光环层数"

		"DOTA_Tooltip_modifier_ghost_aura_disarm"				"噩梦缴械"

		"DOTA_Tooltip_ability_winterblight_regression_strike"	"回归重击"
		"DOTA_Tooltip_ability_winterblight_regression_strike_Description"	"普通攻击造成基于目标攻击力百分比的纯粹伤害。"
		"DOTA_Tooltip_ability_winterblight_regression_strike_attack_power_mult"			"伤害为敌人的攻击力%:"

		"DOTA_Tooltip_ability_winterblight_azalea_dragoon_passive"	"战争格挡"
		"DOTA_Tooltip_ability_winterblight_azalea_dragoon_passive_Description"	"在一定范围之外的敌人造成的伤害将被大量减少。"
		"DOTA_Tooltip_ability_winterblight_azalea_dragoon_passive_damage_block"	"伤害格挡%:"
		"DOTA_Tooltip_ability_winterblight_azalea_dragoon_passive_distance"		"距离:"

		"DOTA_Tooltip_ability_winterblight_ensnare"					"诱捕"
		"DOTA_Tooltip_ability_winterblight_ensnare_Description"		"将敌人困在一个网中，使他们不能移动。"
		"DOTA_Tooltip_ability_winterblight_ensnare_duration"		"缠绕持续时间:"

		"DOTA_Tooltip_ability_winterblight_azalea_knife_passive"		"超级穿刺"
		"DOTA_Tooltip_ability_winterblight_azalea_knife_passive_Description"	"被动增加税后伤害"
		"DOTA_Tooltip_ability_winterblight_azalea_knife_passive_postmitigation"	"税后伤害%:"

		"DOTA_Tooltip_ability_buzuki_hex"							"布祖克的妖术"
		"DOTA_Tooltip_ability_buzuki_hex_Description"				"将一个敌人变为一只动物，使其不能攻击和释放技能。"
		"DOTA_Tooltip_ability_buzuki_hex_duration"					"持续时间:"

		"DOTA_Tooltip_ability_torphet_ice_vortex"					"托菲特的冰霜漩涡"
		"DOTA_Tooltip_ability_torphet_ice_vortex_Description"		"在地面上产生一个冰霜路径，站在寒霜路径上的敌人的魔法抗性和移动速度将会被降低。"
		"DOTA_Tooltip_ability_torphet_ice_vortex_movement_speed_pct"	"移动速度降低%:"
		"DOTA_Tooltip_ability_torphet_ice_vortex_spell_resist_pct"		"魔法抗性减少:"

		"DOTA_Tooltip_ability_torphet_cold_feet"					"托菲特的寒霜之足"
		"DOTA_Tooltip_ability_torphet_cold_feet_Description"		"对敌人施加负面状态，造成持续性伤害。如果敌人没有在负面状态消失前走出消除距离，那么他们将会被冻在原地。"
		"DOTA_Tooltip_ability_torphet_cold_feet_damage"				"持续伤害:"
		"DOTA_Tooltip_ability_torphet_cold_feet_break_distance"		"破碎距离:"
		"DOTA_Tooltip_ability_torphet_cold_feet_stun_duration"		"眩晕持续时间:"
		"DOTA_Tooltip_ability_torphet_cold_feet_cast_range_tooltip"	"施法距离:"

		"DOTA_Tooltip_ability_winterblight_ice_orb"					"阿泽缇娅的霜冻法球"
		"DOTA_Tooltip_ability_winterblight_ice_orb_Description"		"投掷出一个霜冻法球，造成伤害，并且减速接触到该技能的敌人。同时也会向随机目标放出寒冰之枪，对接触到的敌人造成纯粹伤害并且减速。"
		"DOTA_Tooltip_ability_winterblight_ice_orb_as_loss"			"攻击速度降低:"
		"DOTA_Tooltip_ability_winterblight_ice_orb_ms_loss"			"移动速度降低:"
		"DOTA_Tooltip_ability_winterblight_ice_orb_damage"			"伤害:"

		"DOTA_Tooltip_modifier_ice_orb_freeze"						"冻结"

		"DOTA_Tooltip_ability_winterblight_buzuki_passive"			"冻结离子装甲"
		"DOTA_Tooltip_ability_winterblight_buzuki_passive_Description"	"布祖克的装甲会周期性的释放出巨大能量。"
		"DOTA_Tooltip_ability_winterblight_buzuki_passive_range"	"距离:"
		"DOTA_Tooltip_ability_winterblight_buzuki_passive_damage"	"伤害:"

		"DOTA_Tooltip_ability_winterblight_fencer_opportunity"		"优势"
		"DOTA_Tooltip_ability_winterblight_fencer_opportunity_Description"	"攻击敌人会施加优势的负面状态。任何友军在攻击带有该技能负面状态的敌方单位时获得巨大的攻击力加成。"
		"DOTA_Tooltip_ability_winterblight_fencer_opportunity_as_bonus"		"额外攻击速度:"
		"DOTA_Tooltip_ability_winterblight_fencer_opportunity_attack_power_bonus"	"额外攻击力:"
		"DOTA_Tooltip_ability_winterblight_fencer_opportunity_ms_bonus"		"额外移动速度:"

		"DOTA_Tooltip_modifier_opportunity_debuff"					"优势 负面状态"
		"DOTA_Tooltip_modifier_opportunity_debuff_Description"		"攻击该单位的敌人获得机会的正面状态。"

		"DOTA_Tooltip_modifier_opportunity_buff"					"优势 正面状态"
		"DOTA_Tooltip_modifier_opportunity_buff_Description"		"增加攻击速度和攻击力"

		"DOTA_Tooltip_ability_winterblight_pixie_mystery_summon"	"神秘链接"
		"DOTA_Tooltip_ability_winterblight_pixie_mystery_summon_Description"	"与友军共享伤害?"

		"DOTA_Tooltip_ability_winterblight_reality_rift"			"重力裂隙"
		"DOTA_Tooltip_ability_winterblight_reality_rift_Description"	"将你和目标带到你和目标连线上的随机位置。在施法后获得额外攻击力。"
		"DOTA_Tooltip_ability_winterblight_reality_rift_cast_range"		"施法距离:"
		"DOTA_Tooltip_ability_winterblight_reality_rift_bonus_damage"	"额外攻击力:"

		"DOTA_Tooltip_modifier_reality_rift_datadriven"			"重力裂隙"
		"DOTA_Tooltip_modifier_reality_rift_datadriven_Description"	"增加攻击力"	

		"DOTA_Tooltip_ability_winterblight_starseeker_passive"	"阿斯特拉之裳"
		"DOTA_Tooltip_ability_winterblight_starseeker_passive_Description"	"魔法伤害将会治疗你而不是造成伤害。"

		"DOTA_Tooltip_ability_winterblight_star_prophecy"		"星之预言"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_Description"	"向目标单位施加一个负面状态，当这个单位普通攻击或释放一个技能时，他们获得一个层数，并且该状态持续时间延长。当负面状态持续时间结束时，流星会坠落至目标单位身上，流星数取决于目标单位身上的负面状态层数。"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_damage_per_star"	"每颗流星的伤害:"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_stun_per_star"		"每颗流星造成的眩晕持续时间:"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_duration_ability"	"释放技能后加长的持续时间:"
		"DOTA_Tooltip_ability_winterblight_star_prophecy_duration_attack"	"普通攻击后加长的持续时间:"

		"DOTA_Tooltip_modifier_star_prophecy_debuff"		"星之预言"
		"DOTA_Tooltip_modifier_star_prophecy_debuff_Description"	"基于负面状态层数的流星数"

		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive"	"裂口"
		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive_Description"	"在你周围的敌人每0.5秒获得一层裂口层数(所有持有该技能的怪物也会提供这个层数，叠加)，当目标身上的层数到达50层时，向目标投掷一个飞弹，对敌人造成伤害和眩晕。"
		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive_radius"		"范围:"
		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive_stun_duration"	"眩晕持续时间:"
		"DOTA_Tooltip_ability_winterblight_spinesplitter_passive_damage"		"伤害:"

		"DOTA_Tooltip_modifier_spinesplitter_stack"					"裂隙"
		"DOTA_Tooltip_modifier_spinesplitter_stack_Description"		"当50层时标记一个飞弹"	

		"DOTA_Tooltip_ability_winterblight_stargazer_passive"		"群星风暴"
		"DOTA_Tooltip_ability_winterblight_stargazer_passive_Description"	"向周围敌人放出流星和彗星，你离观星者越远，流星打击频率越高。 "
		"DOTA_Tooltip_ability_winterblight_stargazer_passive_damage"		"流星伤害:"
		"DOTA_Tooltip_ability_winterblight_stargazer_passive_comet_damage"	"彗星伤害:"

		"DOTA_Tooltip_modifier_stargazer_aura"						"银河风暴"
		"DOTA_Tooltip_modifier_stargazer_aura_Description"			"被群星锁定。"

		"DOTA_Tooltip_ability_stargazer_glissade"					"滑步"
		"DOTA_Tooltip_ability_stargazer_glissade_Description"		"滑动到目标地点。"

		"DOTA_Tooltip_ability_charging_taskmaster_shield"			"磁力之盾"
		"DOTA_Tooltip_ability_charging_taskmaster_shield_Description"	"每1.2秒给周围友军施加一个盾，减少周围友军受到的99.5%伤害。"
		"DOTA_Tooltip_ability_charging_taskmaster_shield_stacks"	"叠加层数:"

		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive"	"暴怒之雪"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_Description"	"向巨大寒冰元素周围敌人放出大量冰弹。"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_ice_damage" "霜冻伤害:"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_root_duration"	"缠绕持续时间:"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_ms_loss"		"移动速度降低:"
		"DOTA_Tooltip_ability_winterblight_giga_ice_revenant_passive_as_loss"		"攻击速度降低:"

		"DOTA_Tooltip_ability_azalea_boss_passive"					"水晶女王"
		"DOTA_Tooltip_ability_azalea_boss_passive_Description"		"普通攻击造成aoe伤害并且减速"	
		"DOTA_Tooltip_ability_azalea_boss_passive_damage_attack_power" "伤害为攻击力%:"
		"DOTA_Tooltip_ability_azalea_boss_passive_ms_loss"			"移动速度降低:"
		"DOTA_Tooltip_ability_azalea_boss_passive_nova_damage"		"冰霜新星aoe伤害:"

		"DOTA_Tooltip_modifier_azalea_boss_slow"					"被冷冻"

		"DOTA_Tooltip_ability_azalea_boss_multi_strike"				"螺旋鞭击"
		"DOTA_Tooltip_ability_azalea_boss_multi_strike_Description"	"跳跃至空中，并且攻击周围的所有敌人。"

		"DOTA_Tooltip_ability_azalea_ice_orb_passive"				"寒冰法球"
		"DOTA_Tooltip_ability_azalea_ice_orb_passive_Description"	"向施法者周围的敌人放出寒冰法球，同时也向周围随机位置放出寒冰之枪。"
		"DOTA_Tooltip_ability_azalea_ice_orb_passive_as_loss"		"攻击速度降低:"
		"DOTA_Tooltip_ability_azalea_ice_orb_passive_ms_loss"		"移动速度降低:"
		"DOTA_Tooltip_ability_azalea_ice_orb_passive_damage"		"伤害:"

		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive"	"极寒心跳"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_Description"	"周期性的向附近敌人放出一个冰球，冰球击中敌人后会产生爆炸。"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_damage"			"伤害:"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_radius"			"范围:"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_ms_loss"		"移动速度降低:"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_as_loss"		"攻击速度降低:"
		"DOTA_Tooltip_ability_winterblight_heartfreezer_passive_atk_power_dmg"	"伤害为攻击力%:"

		"DOTA_Tooltip_modifier_heartfreezer_rooted"					"被缠绕"

		"DOTA_Tooltip_modifier_heartfreezer_slow"					"被冷冻"

		"DOTA_Tooltip_ability_heartfreezer_blink"					"闪烁"
		"DOTA_Tooltip_ability_heartfreezer_blink_Description"		"传送到目标地点。"

		"DOTA_Tooltip_ability_winterblight_mountain_god_passive"	"山岳震颤者"
		"DOTA_Tooltip_ability_winterblight_mountain_god_passive_Description"	"跳起落地后对目标地点造成大量伤害。"
		"DOTA_Tooltip_ability_winterblight_mountain_god_passive_damage"		"伤害:"

		"DOTA_Tooltip_ability_winterblight_azheran_passive"			"寒冰之血精髓"
		"DOTA_Tooltip_ability_winterblight_azheran_passive_Description"	"物理/魔法/纯粹伤害对该单位造成 2 / 5 / 8 点最终伤害。每次受到伤害获得一层状态，当到达8层时产生一个冰霜爆发，对周围敌人造成伤害，伤害等于最后一次对该单位造成伤害的单位和该单位的距离。"
		"DOTA_Tooltip_ability_winterblight_azheran_passive_as_loss"		"攻击速度降低:"	
		"DOTA_Tooltip_ability_winterblight_azheran_passive_ms_loss"		"移动速度降低:"
		"DOTA_Tooltip_ability_winterblight_azheran_passive_damage"		"新星伤害:"

		"DOTA_Tooltip_modifier_iceblood_stack"						"寒冰之血层数"

		"DOTA_Tooltip_ability_orthok_split_attack"					"连锁热情"
		"DOTA_Tooltip_ability_orthok_split_attack_Description"		"普通攻击会对范围内的所有敌人造成伤害."

		"DOTA_Tooltip_ability_grand_stalacorr_passive"			"沉重之足"
		"DOTA_Tooltip_ability_grand_stalacorr_passive_Description"	"每0.65秒驱散一次来自敌人的负面状态。在驱散后，获得一个状态，该状态将减少你100移动速度并且减少99.5%的受到的伤害。"

		"DOTA_Tooltip_ability_stalacorr_ice_blast"				"上古震颤"
		"DOTA_Tooltip_ability_stalacorr_ice_blast_Description"	"对周围造成巨大的振动。"
		"DOTA_Tooltip_ability_stalacorr_ice_blast_damage"		"伤害:"

		"DOTA_Tooltip_modifier_triboss_powered_up_multiple"	"为所欲为！"

		
		//雪图怪物名称
		
		"winterblight_snowball_kid"								"玩雪球的熊孩子"
		"winterblight_snowcrab_eggs"							"雪蟹之卵"
		"winterblight_snow_crab"								"雪蟹"
		"winterblight_seal"										"凛冬霜枯山脉的海豹"
		"winterblight_mountain_ogre"							"雪山食人魔"
		"winterblight_ancient_monolith"							"远古巨石"
		"winterblight_ice_champion_raxxus"						"冰之斗士拉克索斯"
		"aggressive_monster"									"邪恶的贾尼克"
		"mountain_assassin"										"凛冬刺客"
		"ice_beetle"											"寒冰甲虫"
		"winterblight_wolf"										"凛冬霜枯之狼"
		"winterblight_ice_crystal"								"冰霜水晶"
		"winterblight_living_ice"								"生命之冰"
		"winterblight_mountain_dweller"							"凛冬霜枯山脉原住民"
		"frostiok"												"极寒之形"
		"winterblight_icewrack_marauder"						"残冰掠夺者"
		"winterblight_chilling_colossus"						"寒冷巨像"
		"winterblight_norgok_the_ice_rider"						"寒冰骑士诺格"
		"winterblight_snow_shaker"								"撼地者"
		"winterblight_frigid_growth"							"极寒梦魇"
		"winterblight_ice_summoner"								"冰霜召唤者"
		"winterblight_summon_a"									"熔岩之冰"
		"winterblight_dashing_swordsman"						"冲刺剑士"
		"winterblight_mistral_assassin"							"寒风刺客"
		"winterblight_frost_orchid"								"霜冻之兰"
		"winterblight_winterbear"								"凛冬之熊"
		"winterblight_void_spawn"								"虚空"
		"winterblight_ice_satyr"								"冰萨特"
		"winterblight_icetaur"									"埃斯特"
		"winterblight_frostbite_spiderling"						"霜啮蜘蛛"
		"winterblight_rider_of_azalea"							"阿赛莉娅的骑士"
		"winterblight_azure_sorceress"							"蔚蓝女巫师"
		"winterblight_frost_avatar"								"霜冻化身"
		"winterblight_frost_elemental"							"霜冻元素"
		"winterblight_frost_frigid_hulk"						"极寒残骸"
		"winterblight_azalean_priest"							"阿兹赫伦祭祀"
		"winterblight_azalea_frost_titan"						"霜冻泰坦"
		"winterblight_dimension_walker"							"维度行者"
		"winterblight_puck"										"凛冬霜枯山脉精灵"
		"frost_whelpling"										"寒冰之龙"
		"winterblight_frost_creep"								"极寒撕咬者"
		"winterblight_azalea_zealot"							"阿赛莉娅的狂热者"
		"winterblight_cold_seer"								"极寒贤者"
		"winterblight_softwalker"								"漫步者"
		"winterblight_azalea_archer"							"阿赛莉娅弓箭手"
		"winterblight_maiden_of_azalea"							"阿赛莉娅的侍女"
		"winterblight_zefnar"									"泽法纳"
		"winterblight_syphist"									"虹吸者"
		"winterblight_source_revenant"							"始源幽魂"
		"winterblight_skater_fiend"								"滑冰恶魔"
		"winterblight_source_assembly"							"始源之碎片"
		"winterblight_azalea_highguard"							"阿赛莉娅的崇高守卫"
		"winterblight_azalea_mindbreaker"						"阿赛莉娅的神蚀者"
		"azalea_ghost_striker"									"阿赛莉娅的鬼魂推进者"
		"winterblight_azalea_secret_keeper"						"阿赛莉娅的秘密守卫者"
		"azalea_thorcrux"										"托普洛克斯"
		"azalea_spineback"										"脊背"
		"winterblight_crippling_wraith"							"侵蚀冥魂"
		"azalea_armored_knight"									"重甲骑士"
		"winterblight_azalea_chrolonus"							"时间领主"
		"winterblight_crystal_malefor"							"水晶梅尔芙"
		"winterblight_candy_crush_blue_spirit"					"蔚蓝水晶之灵"
		"winterblight_candy_crush_green_spirit"					"翡翠水晶之灵"
		"winterblight_candy_crush_red_spirit"					"猩红水晶之灵"
		"winterblight_candy_crush_yellow_spirit"				"黄玉水晶之灵"
		"winterblight_azalea_spectral_witch"					"幽灵巫师"
		"winterblight_puck_guard"								"曲棍球守卫"
		"azalea_air_spirit"										"阿赛莉娅天之精灵"
		"winterblight_azalea_frost_cruxal"						"冰冻的库鲁修"
		"winterblight_demon_spirit"								"阿赛莉娅恶魔之魂"
		"azalea_maze_ghost"										"饥饿的鬼魂"
		"winterblight_bladewielder"								"剑舞者"
		"azalea_shrine_megmus"									"梅古莫斯圣坛"
		"rupthold_the_glutton"									"贪魔拉普斯霍德"
		"rupthold_ghost"										"拉普斯霍德鬼魂"
		"azalea_grave_summoner"									"阿塞莉娅庄严召唤者"
		"winterblight_blue_gargoyle"							"蔚蓝石像鬼"
		"azalea_dragoon"										"阿塞莉娅之龙"
		"azalea_knife_scraper"									"飞刃者"
		"winterblight_buzuki"									"布祖克"
		"winterblight_azertia"									"阿泽缇娅"
		"winterblight_torphet"									"托菲尔"
		"azalea_fencer"											"阿塞莉娅剑圣"
		"azalea_mystery_pixie"									"神秘皮克希"
		"pixie_minion"											"皮克希尔"
		"winterblight_azalea_riftbreaker"						"裂隙撕裂者"
		"azalea_star_seeker"									"追星者"
		"azalea_spine_splitter"									"裂脊者"
		"stargazer_orin"										"观星者奥林"
		"winter_snow_spirit"									"凛冬雪魂"
		"azalea_boss"											"冰霜女王阿塞莉娅"
		"giga_ice_revenant"										"巨大寒冰幽魂"
		"winterblight_altar_of_ice_apparition"					"寒冰幽魂"
		"winterblight_heartfreezer"								"心之冰封者"
		"winterblight_mountain_lord"							"山岳领主"
		"winterblight_azheran_iceblood"							"寒冰之血阿兹赫伦"
		"winterblight_orthok_the_damned"						"该死的奥拉斯科"
		"winterblight_captain_reynar_ghost"						"瑞纳船长"
		"winterblight_grand_stalacorr"							"大型凛冬岩石巨人"
		//雪图part2

		"winterblight_scouring_sherpa"							"巡逻山贼"
		"winterblight_skating_zealot"							"驭冰狂热者"
		"winterblight_relict"									"雪猿"
		"ferocious_polar_bear"									"极地拍拍熊"
		"ice_haunter"											"冰鬼"
		"winterblight_stone_guardian"							"巨石守卫"
		"winterblight_merkurio"									"马库里奥"
		"winterblight_cavern_centaur"							"寒霜半人马"
		"azalea_mana_null"										"虚空魔灵"
		"winterblight_blood_wraith"								"鲜血游魂"
		"winterblight_cavern_ultra_ice"							"极寒幽魂"
		"drill_digger"											"洞穴挖掘者"
		"winter_cavern_bat"										"冰穴蝙蝠"
		"cavern_pantheon_knight"								"神殿骑士"
		"barbed_husker"											"刺兽"
		"winterblight_cloaked_phantasm"							"虚掩幻影"
		"winterblight_boar"										"北境野猪"
		"winterblight_fungal_shaman"							"真菌萨满"
		"winterblight_cavern_beguiler"							"诱骗者"
		"winterblight_corporeal_revenant"						"有形亡魂"
		"crystarium_heart_slayer"								"摧心射手"
		"fungal_minion"											"真菌杂兵"
		"winterblight_skull_hunter"								"骷髅猎人"
		"reclusive_mundunugu"									"隐居的蒙杜古"
		"winterblight_crystalist"								"水晶甲虫"
		"winterblight_zect_rider"								"异虫骑士"
		"winterblight_mushroom_pixie"							"蘑菇精灵"
		"crystarium_brood_spider"								"水晶蜘蛛"
		"winterblight_icixel"									"冰刺虫"
		"winterblight_toki_toki"								"托基托基"
		"winterblight_demented_mushroom"						"狂化蘑菇"
		"winterblight_ghost_of_aurora"							"极光之魂"
		"winterblight_cavern_bovaur"							"洞穴白牛"
		"winterblight_icestealer"								"冷冽掠夺者"
		"winterblight_cavern_overwhelmer"						"虚无巨兽"
		"winterblight_servant_of_saturn"						"土星之仆"
		"winterblight_zodiac_oracle"							"十二宫神谕者"
		"winterblight_cavern_thunderhide"						"雷肤兽"
		"winterblight_aurora_boss_1"								"奥西罗斯"
		"winterblight_aurora_boss_2"								"古诺尔夫"
		"winterblight_aurora_boss_3"								"斯威本"
		"winterblight_space_shark"								"星空鲨"
		"winterblight_star_eater"								"噬星者"
		"winter_bone_blister"									"寒霜巫妖"
		"winterblight_galaxy_knight"							"银河骑士"
		"winterblight_frozen_krow"								"冻结飞龙"
		"winterblight_mind_chatterer"							"思维毁灭者"
		"winterblight_wintertide_monk"							"寒潮僧侣"
		"winterblight_winters_chieftain"						"寒冬酋长"

		"DOTA_Tooltip_ability_winterblight_gang_up"				"团结"
		"DOTA_Tooltip_ability_winterblight_gang_up_Description"	"为每一个周围拥有 团结 技能的单位增加一层强化buff层数，每层都能增加一定的属性."
		"DOTA_Tooltip_ability_winterblight_gang_up_armor"		"每层增加护甲："
		"DOTA_Tooltip_ability_winterblight_gang_up_attack_damage_percent"	"% 每层额外攻击力:"
		"DOTA_Tooltip_ability_winterblight_gang_up_attack_speed"			"每层增加攻击速度:"
		"DOTA_Tooltip_ability_winterblight_gang_up_movespeed"				"每层增加移动速度:"

		"DOTA_Tooltip_modifier_gangup_stack"					"团结"
		"DOTA_Tooltip_modifier_gangup_stack_Description"		"为周围拥有 团结 技能的友军提供强化"
                                
                                "DOTA_Tooltip_ability_winterblight_damage_sap"			"攻击窃取"
		"DOTA_Tooltip_ability_winterblight_damage_sap_Description"	"攻击敌人的时候降低其基础攻击力,并且提高自身的攻击力，持续8秒."
		"DOTA_Tooltip_ability_winterblight_damage_sap_damage_sap"	"攻击力降低:"

